Client,Company Code,Accounting Document Number,Fiscal Year,Document Type,Document Date in Document,Month,Posting Date in the Document,Day On Which Accounting Document Was Entered,Invoice Document Number,Fiscal Year of Invoice,Date of the Last Document Change by Transaction,Reference Document Number,Accounting Document Key
100,CompanyCode1,1000000039,2022,Documenttype1,2022-02-15,2,2022-02-22,2022-02-22,1000052024,2022,,74500,10000520242022
100,CompanyCode1,1000000040,2022,Documenttype1,2022-02-15,2,2022-02-22,2022-02-22,1000052026,2022,,54800,10000520262022
100,CompanyCode1,1000000041,2022,Documenttype1,2022-02-15,2,2022-02-22,2022-02-22,1000052027,2022,,54795,10000520272022
100,CompanyCode1,1000000042,2022,Documenttype1,2022-02-15,2,2022-02-22,2022-02-22,1000052029,2022,,54801,10000520292022
100,CompanyCode1,1000000043,2022,Documenttype1,2022-01-27,2,2022-02-23,2022-02-23,1000052106,2022,,BY4591CR,10000521062022
100,CompanyCode1,1000000044,2022,Documenttype1,2022-01-21,2,2022-02-23,2022-02-23,1000052107,2022,,BY7812CP,10000521072022
100,CompanyCode1,1000000045,2022,Documenttype1,2022-02-14,2,2022-02-23,2022-02-23,1000052116,2022,,BY4574CW,10000521162022
100,CompanyCode1,1000000046,2022,Documenttype1,2022-02-10,2,2022-02-23,2022-02-23,1000052274,2022,,CSI13772,10000522742022
100,CompanyCode1,1000000047,2022,Documenttype1,2022-02-18,2,2022-02-24,2022-02-24,1000032567,2022,,1268833,10000325672022
100,CompanyCode1,1000000048,2022,Documenttype1,2022-02-22,2,2022-02-24,2022-02-24,1000032568,2022,,1269675,10000325682022
100,CompanyCode1,1000000049,2022,Documenttype1,2022-02-22,2,2022-02-24,2022-02-24,1000032569,2022,,1269761,10000325692022
100,CompanyCode1,1000000050,2022,Documenttype1,2022-02-22,2,2022-02-24,2022-02-24,1000032570,2022,,1270165,10000325702022
100,CompanyCode1,1000000051,2022,Documenttype1,2022-02-23,2,2022-02-24,2022-02-24,1000032571,2022,,1270511,10000325712022
100,CompanyCode1,1000000052,2022,Documenttype1,2022-02-21,2,2022-02-24,2022-02-24,1000032572,2022,,1269619,10000325722022
100,CompanyCode1,1000000053,2022,Documenttype1,2022-02-24,2,2022-02-25,2022-02-25,1000032751,2022,,1122343,10000327512022
100,CompanyCode1,1000000054,2022,Documenttype1,2022-02-24,2,2022-02-25,2022-02-25,1000072139,2022,,INV121426,10000721392022
100,CompanyCode1,1000000055,2022,Documenttype1,2022-02-24,2,2022-02-25,2022-02-25,1000072140,2022,,INV121431,10000721402022
